Simulated control sequence with PD control:
Sequence steps: [0, 10, -10, 5, -5] 
Kp = 0.7213012910520777
Kd = 0.39466422611731
Limitations of the gamma control: +/- 8
Optimization solver: Nelder-Mead
Cost function type: penalty
Time(s)	Roll(deg)	Error	Control_cmd	gamma_L	gamma_R	target
0.00000	0.00000	0.00000	0.00000	39.22826	40.77174	0.00000
0.00250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.00500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.00750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.01000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.01250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.01500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.01750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.02000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.02250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.02500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.02750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.03000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.03250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.03500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.03750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.04000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.04250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.04500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.04750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.05000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.05250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.05500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.05750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.06000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.06250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.06500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.06750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.07000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.07250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.07500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.07750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.08000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.08250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.08500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.08750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.09000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.09250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.09500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.09750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.10000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.10250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.10500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.10750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.11000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.11250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.11500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.11750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.12000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.12250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.12500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.12750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.13000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.13250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.13500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.13750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.14000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.14250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.14500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.14750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.15000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.15250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.15500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.15750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.16000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.16250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.16500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.16750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.17000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.17250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.17500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.17750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.18000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.18250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.18500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.18750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.19000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.19250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.19500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.19750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.20000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.20250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.20500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.20750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.21000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.21250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.21500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.21750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.22000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.22250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.22500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.22750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.23000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.23250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.23500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.23750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.24000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.24250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.24500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.24750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.25000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.25250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.25500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.25750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.26000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.26250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.26500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.26750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.27000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.27250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.27500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.27750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.28000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.28250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.28500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.28750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.29000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.29250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.29500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.29750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.30000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.30250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.30500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.30750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.31000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.31250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.31500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.31750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.32000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.32250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.32500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.32750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.33000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.33250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.33500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.33750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
