History of the explored points by the optimization process:
Sequence steps: target_val
Kp = 0.7213012910520777
Kd = 0.39466422611731
Limitations of the gamma control: +/- 8
Optimization solver: Nelder-Mead
Cost function type: penalty
Kp	 Kd
1.00000	1.00000
1.07500	0.90000
1.18750	0.85000
1.29375	0.62500
1.29375	0.62500
1.29375	0.62500
1.29375	0.62500
1.29375	0.62500
1.21406	0.59375
1.21406	0.59375
1.21699	0.50078
1.00205	0.49492
1.00205	0.49492
0.79004	0.39609
0.79004	0.39609
0.79004	0.39609
0.71035	0.36484
0.71602	0.39844
0.71602	0.39844
0.71602	0.39844
0.71602	0.39844
0.71033	0.38542
0.72598	0.39377
0.71709	0.39402
0.71709	0.39402
0.72125	0.39280
0.72125	0.39280
0.72102	0.39404
0.72102	0.39404
0.72102	0.39404
0.72102	0.39404
0.72102	0.39404
0.72128	0.39459
0.72128	0.39459
0.72128	0.39459
0.72128	0.39459
0.72128	0.39459
0.72128	0.39459
0.72130	0.39466
0.72130	0.39466
