time,theta
0.00000,0.00000
0.00250,-2.92238
0.00500,-2.92238
0.00750,-2.92238
0.01000,-2.92238
0.01250,-2.92238
0.01500,-2.90041
0.01750,-2.90041
0.02000,-2.92238
0.02250,-2.92238
0.02500,-2.92238
0.02750,-2.92238
0.03000,-2.92238
0.03250,-2.92238
0.03500,-2.92238
0.03750,-2.90041
0.04000,-2.90041
0.04250,-2.92238
0.04500,-2.92238
0.04750,-2.90041
0.05000,-2.90041
0.05250,-2.90041
0.05500,-2.90041
0.05750,-2.92238
0.06000,-2.92238
0.06250,-2.90041
0.06500,-2.90041
0.06750,-2.92238
0.07000,-2.92238
0.07250,-2.90041
0.07500,-2.90041
0.07750,-2.90041
0.08000,-2.90041
0.08250,-2.92238
0.08500,-2.92238
0.08750,-2.90041
0.09000,-2.90041
0.09250,-2.90041
0.09500,-2.90041
0.09750,-2.90041
0.10000,-2.90041
0.10250,-2.90041
0.10500,-2.90041
0.10750,-2.90041
0.11000,-2.90041
0.11250,-2.90041
0.11500,-2.90041
0.11750,-2.90041
0.12000,-2.90041
0.12250,-2.90041
0.12500,-2.90041
0.12750,-2.87844
0.13000,-2.87844
0.13250,-2.87844
0.13500,-2.87844
0.13750,-2.87844
0.14000,-2.87844
0.14250,-2.87844
0.14500,-2.87844
0.14750,-2.87844
0.15000,-2.87844
0.15250,-2.87844
0.15500,-2.87844
0.15750,-2.85647
0.16000,-2.85647
0.16250,-2.85647
0.16500,-2.85647
0.16750,-2.85647
0.17000,-2.85647
0.17250,-2.83449
0.17500,-2.83449
0.17750,-2.83449
0.18000,-2.83449
0.18250,-2.83449
0.18500,-2.83449
0.18750,-2.81252
0.19000,-2.81252
0.19250,-2.81252
0.19500,-2.81252
0.19750,-2.81252
0.20000,-2.79055
0.20250,-2.79055
0.20500,-2.79055
0.20750,-2.79055
0.21000,-2.76857
0.21250,-2.76857
0.21500,-2.76857
0.21750,-2.76857
0.22000,-2.74660
0.22250,-2.74660
0.22500,-2.74660
0.22750,-2.74660
0.23000,-2.72463
0.23250,-2.72463
0.23500,-2.72463
0.23750,-2.72463
0.24000,-2.72463
0.24250,-2.72463
0.24500,-2.70266
0.24750,-2.70266
0.25000,-2.68068
0.25250,-2.68068
0.25500,-2.68068
0.25750,-2.68068
0.26000,-2.65871
0.26250,-2.65871
0.26500,-2.65871
0.26750,-2.65871
0.27000,-2.63674
0.27250,-2.63674
0.27500,-2.63674
0.27750,-2.63674
0.28000,-2.61477
0.28250,-2.61477
0.28500,-2.59279
0.28750,-2.59279
0.29000,-2.59279
0.29250,-2.59279
0.29500,-2.57082
0.29750,-2.57082
0.30000,-2.57082
0.30250,-2.57082
0.30500,-2.54885
0.30750,-2.54885
0.31000,-2.52688
0.31250,-2.52688
0.31500,-2.52688
0.31750,-2.52688
0.32000,-2.50490
0.32250,-2.50490
0.32500,-2.50490
0.32750,-2.50490
0.33000,-2.48293
0.33250,-2.48293
0.33500,-2.46096
0.33750,-2.46096
0.34000,-2.46096
0.34250,-2.46096
0.34500,-2.43899
0.34750,-2.43899
0.35000,-2.41701
0.35250,-2.41701
0.35500,-2.41701
0.35750,-2.39504
0.36000,-2.39504
0.36250,-2.39504
0.36500,-2.39504
0.36750,-2.37307
0.37000,-2.37307
0.37250,-2.37307
0.37500,-2.37307
0.37750,-2.35109
0.38000,-2.35109
0.38250,-2.32912
0.38500,-2.32912
0.38750,-2.32912
0.39000,-2.32912
0.39250,-2.30715
0.39500,-2.30715
0.39750,-2.30715
0.40000,-2.30715
0.40250,-2.28518
0.40500,-2.28518
0.40750,-2.28518
0.41000,-2.28518
0.41250,-2.26320
0.41500,-2.26320
0.41750,-2.26320
0.42000,-2.26320
0.42250,-2.24123
0.42500,-2.24123
0.42750,-2.24123
0.43000,-2.24123
0.43250,-2.21926
0.43500,-2.21926
0.43750,-2.21926
0.44000,-2.21926
0.44250,-2.19729
0.44500,-2.19729
0.44750,-2.21926
0.45000,-2.21926
0.45250,-2.17531
0.45500,-2.17531
0.45750,-2.17531
0.46000,-2.17531
0.46250,-2.17531
0.46500,-2.17531
0.46750,-2.17531
0.47000,-2.17531
0.47250,-2.17531
0.47500,-2.17531
0.47750,-2.15334
0.48000,-2.15334
0.48250,-2.15334
0.48500,-2.15334
0.48750,-2.15334
0.49000,-2.13137
0.49250,-2.13137
0.49500,-2.13137
0.49750,-2.13137
0.50000,-2.13137
0.50250,-2.13137
0.50500,-2.13137
0.50750,-2.13137
0.51000,-2.13137
0.51250,-2.13137
0.51500,-2.10940
0.51750,-2.10940
0.52000,-2.10940
0.52250,-2.10940
0.52500,-2.10940
0.52750,-2.10940
0.53000,-2.10940
0.53250,-2.10940
0.53500,-2.10940
0.53750,-2.10940
0.54000,-2.10940
0.54250,-2.10940
0.54500,-2.10940
0.54750,-2.10940
0.55000,-2.10940
0.55250,-2.10940
0.55500,-2.10940
0.55750,-2.10940
0.56000,-2.10940
0.56250,-2.10940
0.56500,-2.10940
0.56750,-2.10940
0.57000,-2.10940
0.57250,-2.10940
0.57500,-2.10940
0.57750,-2.10940
0.58000,-2.08742
0.58250,-2.08742
0.58500,-2.10940
0.58750,-2.10940
0.59000,-2.08742
0.59250,-2.08742
0.59500,-2.10940
0.59750,-2.10940
0.60000,-2.08742
0.60250,-2.08742
0.60500,-2.10940
0.60750,-2.10940
0.61000,-2.10940
0.61250,-2.10940
0.61500,-2.08742
0.61750,-2.08742
0.62000,-2.10940
0.62250,-2.10940
0.62500,-2.10940
0.62750,-2.10940
0.63000,-2.08742
0.63250,-2.08742
0.63500,-2.10940
0.63750,-2.10940
0.64000,-2.08742
0.64250,-2.08742
0.64500,-2.10940
0.64750,-2.10940
0.65000,-2.10940
0.65250,-2.10940
0.65500,-2.10940
0.65750,-2.10940
0.66000,-2.10940
0.66250,-2.10940
0.66500,-2.10940
0.66750,-2.08742
0.67000,-2.08742
0.67250,-2.10940
0.67500,-2.10940
0.67750,-2.08742
0.68000,-2.08742
0.68250,-2.10940
0.68500,-2.10940
0.68750,-2.10940
0.69000,-2.10940
0.69250,-2.10940
0.69500,-2.10940
0.69750,-2.10940
0.70000,-2.08742
0.70250,-2.08742
0.70500,-2.10940
0.70750,-2.10940
0.71000,-2.10940
0.71250,-2.10940
0.71500,-2.10940
0.71750,-2.10940
0.72000,-2.10940
0.72250,-2.10940
0.72500,-2.10940
0.72750,-2.10940
0.73000,-2.10940
0.73250,-2.10940
0.73500,-2.10940
0.73750,-2.10940
0.74000,-2.10940
0.74250,-2.10940
0.74500,-2.10940
0.74750,-2.10940
0.75000,-2.10940
0.75250,-2.10940
0.75500,-2.10940
0.75750,-2.10940
0.76000,-2.10940
0.76250,-2.10940
0.76500,-2.10940
0.76750,-2.10940
0.77000,-2.10940
0.77250,-2.10940
0.77500,-2.10940
0.77750,-2.10940
0.78000,-2.10940
0.78250,-2.10940
0.78500,-2.10940
0.78750,-2.08742
0.79000,-2.08742
0.79250,-2.10940
0.79500,-2.10940
0.79750,-2.08742
0.80000,-2.08742
0.80250,-2.08742
0.80500,-2.08742
0.80750,-2.08742
0.81000,-2.08742
0.81250,-2.08742
0.81500,-2.08742
0.81750,-2.08742
0.82000,-2.08742
0.82250,-2.06545
0.82500,-2.06545
0.82750,-2.08742
0.83000,-2.08742
0.83250,-2.08742
0.83500,-2.08742
0.83750,-2.06545
0.84000,-2.06545
0.84250,-2.06545
0.84500,-2.06545
0.84750,-2.04348
0.85000,-2.04348
0.85250,-2.04348
0.85500,-2.04348
0.85750,-2.04348
0.86000,-2.04348
0.86250,-2.04348
0.86500,-2.04348
0.86750,-2.04348
0.87000,-2.02150
0.87250,-2.02150
0.87500,-2.02150
0.87750,-2.02150
0.88000,-2.02150
0.88250,-2.02150
0.88500,-1.99953
0.88750,-1.99953
0.89000,-1.99953
0.89250,-1.99953
0.89500,-1.99953
0.89750,-1.99953
0.90000,-1.97756
0.90250,-1.97756
0.90500,-1.97756
0.90750,-1.97756
0.91000,-1.95559
0.91250,-1.95559
0.91500,-1.95559
0.91750,-1.95559
0.92000,-1.95559
0.92250,-1.95559
0.92500,-1.93361
0.92750,-1.93361
0.93000,-1.93361
0.93250,-1.93361
0.93500,-1.93361
0.93750,-1.93361
0.94000,-1.91164
0.94250,-1.91164
0.94500,-1.91164
0.94750,-1.91164
0.95000,-1.88967
0.95250,-1.88967
0.95500,-1.88967
0.95750,-1.88967
0.96000,-1.88967
0.96250,-1.88967
0.96500,-1.86770
0.96750,-1.86770
0.97000,-1.86770
0.97250,-1.86770
0.97500,-1.84572
0.97750,-1.84572
0.98000,-1.84572
0.98250,-1.84572
0.98500,-1.84572
0.98750,-1.82375
0.99000,-1.82375
0.99250,-1.82375
0.99500,-1.82375
0.99750,-1.80178
1.00000,-1.80178
1.00250,-1.80178
1.00500,-1.80178
1.00750,-1.77981
1.01000,-1.77981
1.01250,-1.77981
1.01500,-1.77981
1.01750,-1.77981
1.02000,-1.77981
1.02250,-1.75783
1.02500,-1.75783
1.02750,-1.73586
1.03000,-1.73586
1.03250,-1.73586
1.03500,-1.73586
1.03750,-1.71389
1.04000,-1.71389
1.04250,-1.71389
1.04500,-1.71389
1.04750,-1.71389
1.05000,-1.71389
1.05250,-1.69191
1.05500,-1.69191
1.05750,-1.69191
1.06000,-1.69191
1.06250,-1.66994
1.06500,-1.66994
1.06750,-1.66994
1.07000,-1.66994
1.07250,-1.66994
1.07500,-1.66994
1.07750,-1.64797
1.08000,-1.64797
1.08250,-1.64797
1.08500,-1.64797
1.08750,-1.62600
1.09000,-1.62600
1.09250,-1.62600
1.09500,-1.62600
1.09750,-1.62600
1.10000,-1.62600
1.10250,-1.60402
1.10500,-1.60402
1.10750,-1.60402
1.11000,-1.60402
1.11250,-1.58205
1.11500,-1.58205
1.11750,-1.58205
1.12000,-1.58205
1.12250,-1.58205
1.12500,-1.58205
1.12750,-1.56008
1.13000,-1.56008
1.13250,-1.56008
1.13500,-1.56008
1.13750,-1.53811
1.14000,-1.53811
1.14250,-1.53811
1.14500,-1.51613
1.14750,-1.51613
1.15000,-1.51613
1.15250,-1.51613
1.15500,-1.51613
1.15750,-1.51613
1.16000,-1.49416
1.16250,-1.49416
1.16500,-1.49416
1.16750,-1.49416
1.17000,-1.47219
1.17250,-1.47219
1.17500,-1.47219
1.17750,-1.47219
1.18000,-1.45022
1.18250,-1.45022
1.18500,-1.45022
1.18750,-1.45022
1.19000,-1.45022
1.19250,-1.45022
1.19500,-1.42824
1.19750,-1.42824
1.20000,-1.42824
1.20250,-1.42824
1.20500,-1.40627
1.20750,-1.40627
1.21000,-1.40627
1.21250,-1.40627
1.21500,-1.40627
1.21750,-1.40627
1.22000,-1.38430
1.22250,-1.38430
1.22500,-1.38430
1.22750,-1.36232
1.23000,-1.36232
1.23250,-1.36232
1.23500,-1.36232
1.23750,-1.36232
1.24000,-1.36232
1.24250,-1.34035
1.24500,-1.34035
1.24750,-1.34035
1.25000,-1.34035
1.25250,-1.31838
1.25500,-1.31838
1.25750,-1.31838
1.26000,-1.31838
1.26250,-1.29641
1.26500,-1.29641
1.26750,-1.29641
1.27000,-1.29641
1.27250,-1.29641
1.27500,-1.29641
1.27750,-1.27443
1.28000,-1.27443
1.28250,-1.27443
1.28500,-1.27443
1.28750,-1.25246
1.29000,-1.25246
1.29250,-1.25246
1.29500,-1.25246
1.29750,-1.25246
1.30000,-1.25246
1.30250,-1.23049
1.30500,-1.23049
1.30750,-1.20852
1.31000,-1.20852
1.31250,-1.20852
1.31500,-1.20852
1.31750,-1.20852
1.32000,-1.20852
1.32250,-1.18654
1.32500,-1.18654
1.32750,-1.18654
1.33000,-1.18654
1.33250,-1.18654
1.33500,-1.18654
1.33750,-1.16457
1.34000,-1.16457
1.34250,-1.16457
1.34500,-1.16457
1.34750,-1.14260
1.35000,-1.14260
1.35250,-1.14260
1.35500,-1.14260
1.35750,-1.14260
