time,theta
0.00000,0.00000
0.00250,-0.87890
0.00500,-0.87890
0.00750,-0.87890
0.01000,-0.85693
0.01250,-0.85693
0.01500,-0.85693
0.01750,-0.85693
0.02000,-0.87890
0.02250,-0.87890
0.02500,-0.85693
0.02750,-0.85693
0.03000,-0.85693
0.03250,-0.85693
0.03500,-0.85693
0.03750,-0.85693
0.04000,-0.85693
0.04250,-0.85693
0.04500,-0.85693
0.04750,-0.85693
0.05000,-0.85693
0.05250,-0.85693
0.05500,-0.85693
0.05750,-0.85693
0.06000,-0.85693
0.06250,-0.85693
0.06500,-0.85693
0.06750,-0.85693
0.07000,-0.85693
0.07250,-0.85693
0.07500,-0.85693
0.07750,-0.83496
0.08000,-0.83496
0.08250,-0.83496
0.08500,-0.83496
0.08750,-0.85693
0.09000,-0.85693
0.09250,-0.83496
0.09500,-0.83496
0.09750,-0.83496
0.10000,-0.83496
0.10250,-0.83496
0.10500,-0.83496
0.10750,-0.83496
0.11000,-0.83496
0.11250,-0.83496
0.11500,-0.83496
0.11750,-0.83496
0.12000,-0.83496
0.12250,-0.83496
0.12500,-0.83496
0.12750,-0.85693
0.13000,-0.85693
0.13250,-0.83496
0.13500,-0.83496
0.13750,-0.83496
0.14000,-0.83496
0.14250,-0.83496
0.14500,-0.83496
0.14750,-0.83496
0.15000,-0.85693
0.15250,-0.85693
0.15500,-0.83496
0.15750,-0.83496
0.16000,-0.85693
0.16250,-0.85693
0.16500,-0.83496
0.16750,-0.83496
0.17000,-0.85693
0.17250,-0.85693
0.17500,-0.85693
0.17750,-0.85693
0.18000,-0.83496
0.18250,-0.83496
0.18500,-0.85693
0.18750,-0.85693
0.19000,-0.83496
0.19250,-0.83496
0.19500,-0.85693
0.19750,-0.85693
0.20000,-0.85693
0.20250,-0.85693
0.20500,-0.85693
0.20750,-0.85693
0.21000,-0.85693
0.21250,-0.85693
0.21500,-0.85693
0.21750,-0.85693
0.22000,-0.85693
0.22250,-0.85693
0.22500,-0.85693
0.22750,-0.85693
0.23000,-0.85693
0.23250,-0.85693
0.23500,-0.85693
0.23750,-0.85693
0.24000,-0.85693
0.24250,-0.85693
0.24500,-0.85693
0.24750,-0.85693
0.25000,-0.85693
0.25250,-0.85693
0.25500,-0.85693
0.25750,-0.85693
0.26000,-0.85693
0.26250,-0.85693
0.26500,-0.85693
0.26750,-0.85693
0.27000,-0.85693
0.27250,-0.85693
0.27500,-0.87890
0.27750,-0.87890
0.28000,-0.85693
0.28250,-0.85693
0.28500,-0.85693
0.28750,-0.85693
0.29000,-0.85693
0.29250,-0.85693
0.29500,-0.85693
0.29750,-0.85693
0.30000,-0.87890
0.30250,-0.87890
0.30500,-0.85693
0.30750,-0.87890
0.31000,-0.87890
0.31250,-0.87890
0.31500,-0.87890
0.31750,-0.85693
0.32000,-0.85693
0.32250,-0.87890
0.32500,-0.87890
0.32750,-0.87890
0.33000,-0.87890
0.33250,-0.87890
0.33500,-0.87890
0.33750,-0.87890
0.34000,-0.87890
0.34250,-0.87890
0.34500,-0.87890
0.34750,-0.87890
0.35000,-0.87890
0.35250,-0.87890
0.35500,-0.87890
0.35750,-0.85693
0.36000,-0.85693
0.36250,-0.87890
0.36500,-0.87890
0.36750,-0.85693
0.37000,-0.85693
0.37250,-0.87890
0.37500,-0.87890
0.37750,-0.85693
0.38000,-0.85693
0.38250,-0.85693
0.38500,-0.85693
0.38750,-0.87890
0.39000,-0.85693
0.39250,-0.85693
0.39500,-0.85693
0.39750,-0.87890
0.40000,-0.87890
0.40250,-0.87890
0.40500,-0.87890
0.40750,-0.87890
0.41000,-0.87890
0.41250,-0.87890
0.41500,-0.87890
0.41750,-0.85693
0.42000,-0.85693
0.42250,-0.85693
0.42500,-0.85693
0.42750,-0.85693
0.43000,-0.85693
0.43250,-0.85693
0.43500,-0.85693
0.43750,-0.85693
0.44000,-0.85693
0.44250,-0.85693
0.44500,-0.85693
0.44750,-0.85693
0.45000,-0.85693
0.45250,-0.85693
0.45500,-0.85693
0.45750,-0.85693
0.46000,-0.85693
0.46250,-0.85693
0.46500,-0.85693
0.46750,-0.85693
0.47000,-0.85693
0.47250,-0.85693
0.47500,-0.85693
0.47750,-0.85693
0.48000,-0.83496
0.48250,-0.83496
0.48500,-0.85693
0.48750,-0.85693
0.49000,-0.83496
0.49250,-0.83496
0.49500,-0.83496
0.49750,-0.83496
0.50000,-0.83496
0.50250,-0.83496
0.50500,-0.83496
0.50750,-0.83496
0.51000,-0.83496
0.51250,-0.83496
0.51500,-0.83496
0.51750,-0.83496
0.52000,-0.83496
0.52250,-0.83496
0.52500,-0.83496
0.52750,-0.83496
0.53000,-0.83496
0.53250,-0.83496
0.53500,-0.81298
0.53750,-0.81298
0.54000,-0.81298
0.54250,-0.81298
0.54500,-0.81298
0.54750,-0.81298
0.55000,-0.81298
0.55250,-0.81298
0.55500,-0.81298
0.55750,-0.81298
0.56000,-0.81298
0.56250,-0.81298
0.56500,-0.81298
0.56750,-0.81298
0.57000,-0.81298
0.57250,-0.79101
0.57500,-0.79101
0.57750,-0.79101
0.58000,-0.79101
0.58250,-0.79101
0.58500,-0.79101
0.58750,-0.79101
0.59000,-0.79101
0.59250,-0.79101
0.59500,-0.79101
0.59750,-0.79101
0.60000,-0.79101
0.60250,-0.76904
0.60500,-0.76904
0.60750,-0.76904
0.61000,-0.76904
0.61250,-0.76904
0.61500,-0.76904
0.61750,-0.76904
0.62000,-0.76904
0.62250,-0.76904
0.62500,-0.76904
0.62750,-0.76904
0.63000,-0.76904
0.63250,-0.76904
0.63500,-0.76904
0.63750,-0.74707
0.64000,-0.74707
0.64250,-0.74707
0.64500,-0.74707
0.64750,-0.74707
0.65000,-0.74707
0.65250,-0.74707
0.65500,-0.74707
0.65750,-0.74707
0.66000,-0.74707
0.66250,-0.72509
0.66500,-0.72509
0.66750,-0.74707
0.67000,-0.74707
0.67250,-0.72509
0.67500,-0.72509
0.67750,-0.72509
0.68000,-0.72509
0.68250,-0.72509
0.68500,-0.72509
0.68750,-0.72509
0.69000,-0.72509
0.69250,-0.72509
0.69500,-0.72509
0.69750,-0.72509
0.70000,-0.72509
0.70250,-0.72509
0.70500,-0.72509
0.70750,-0.72509
0.71000,-0.70312
0.71250,-0.70312
0.71500,-0.70312
0.71750,-0.70312
0.72000,-0.70312
0.72250,-0.70312
0.72500,-0.70312
0.72750,-0.70312
0.73000,-0.70312
0.73250,-0.70312
0.73500,-0.70312
0.73750,-0.70312
0.74000,-0.70312
0.74250,-0.70312
0.74500,-0.70312
0.74750,-0.70312
0.75000,-0.70312
0.75250,-0.70312
0.75500,-0.70312
0.75750,-0.70312
0.76000,-0.70312
0.76250,-0.70312
0.76500,-0.70312
0.76750,-0.70312
0.77000,-0.70312
0.77250,-0.70312
0.77500,-0.70312
0.77750,-0.70312
0.78000,-0.70312
0.78250,-0.70312
0.78500,-0.70312
0.78750,-0.70312
0.79000,-0.70312
0.79250,-0.70312
0.79500,-0.70312
0.79750,-0.70312
0.80000,-0.70312
0.80250,-0.70312
0.80500,-0.70312
0.80750,-0.70312
0.81000,-0.70312
0.81250,-0.70312
0.81500,-0.70312
0.81750,-0.70312
0.82000,-0.70312
0.82250,-0.70312
0.82500,-0.70312
